n_group,M_label,model_name,n_scenarios,ibs,ibs_std95,cindex,nll,ibs_sd,ibs_std95_sd,cindex_sd,nll_sd
5000,M1,CoxPH,96,0.16178599933472138,0.1694808497915263,0.63773047504811,2.4207015087533246,0.11432173194555215,0.026216805580710056,0.04501876026076406,0.330988469608504
5000,M1,DSM,96,0.1682724390013783,0.1773606831249124,0.6136236159575991,2.5648902301199334,0.12469480680051617,0.02416540256069142,0.04826400217632326,0.3535974707943173
5000,M1,DeepHit,96,0.15089859835722927,0.16790384034663844,0.6417639900904818,2.3612104865316144,0.10418793182736923,0.02658165444134768,0.04351610825502977,0.3487444594163373
5000,M1,DeepSurv,96,0.1570316746207828,0.1679614153516684,0.6420390385314221,2.428363146310051,0.11179592174678317,0.027270329558840203,0.044090440527540097,0.3277829609694557
5000,M1,RSF,96,0.20035816700938822,0.23681022694451825,0.6342879519086632,3.5889560007238086,0.14240812014067508,0.0471928284178933,0.043385294573714546,0.2769985973396232
5000,M1,Hybrid,96,0.15685630245766977,0.18368635647502699,0.5881154767675743,2.41437882876157,0.1006707693919705,0.033719970856310955,0.056552908491887356,0.27855826513266113
5000,M1,Survival-MDN,96,0.1581134447704073,0.16860628323670546,0.6367297152554319,2.376229283165594,0.1140040095098214,0.02692376679800878,0.04652198131265266,0.3276314892364508
10000,M2,CoxPH,96,0.11354665537348609,0.16550677414557968,0.6233910895881931,2.530610380769955,0.08564809152351674,0.028082805942650692,0.03589856156035231,0.38729334913919805
10000,M2,DSM,96,0.1239211942552723,0.1699498979978645,0.6031381674134592,2.687653937164724,0.10201530243633619,0.026278419192429486,0.05522908617179354,0.4122317195274375
10000,M2,DeepHit,96,0.1124347875959431,0.16358179125826958,0.6297597947876138,2.4892376604485547,0.08389537788739933,0.02817844149127449,0.036960463160323954,0.3747681172367831
10000,M2,DeepSurv,96,0.1130392686747551,0.163476661178595,0.6285020254707485,2.522649368759484,0.08676178696516638,0.028390281139472177,0.03686701071150894,0.382526772672308
10000,M2,RSF,96,0.15349418998881684,0.2332802318260587,0.6199157272778466,4.079129649319842,0.1265445433777981,0.05277487328284171,0.038484625613097796,0.31792781058300057
10000,M2,Hybrid,96,0.13153241321701203,0.1884767340920842,0.5525770133507759,2.6656311918765376,0.09623932812655546,0.037319625991701806,0.04250931204765285,0.35012033656049285
10000,M2,Survival-MDN,96,0.11436207690009242,0.16478283961708207,0.6245521000880061,2.516802957168261,0.08840520504031119,0.028001618230333404,0.03675606855840992,0.38301696862053414
20000,M3,CoxPH,96,0.1005703749616122,0.1553953781686905,0.6653362384898537,2.6127172121697853,0.07197233729228056,0.025296823249119,0.03414124969272559,0.4107387085966249
20000,M3,DSM,96,0.1141434828533837,0.16298511969592414,0.6412116742650562,2.7326689501697614,0.09530323064984456,0.02758126345421332,0.04451355999808444,0.4091560107506971
20000,M3,DeepHit,96,0.09333369352431947,0.15178388830950687,0.6717448543955853,2.5374414693777614,0.059043053626349554,0.02576347881722509,0.03342352441535226,0.40180810561976277
20000,M3,DeepSurv,96,0.09307694423777986,0.15135844047805055,0.6711994453456963,2.588349431635241,0.06265815269805332,0.02614788674318063,0.033818789109051936,0.4020029182027751
20000,M3,RSF,96,0.14278182151247487,0.23149816477188304,0.6667507288765889,4.092081673869795,0.11302916074697658,0.05102250805160769,0.035034663572360965,0.3679630248746471
20000,M3,Hybrid,96,0.1072362028711882,0.17614567097698772,0.5948074998298342,2.6725870295172984,0.061004939255386935,0.03659062375332429,0.046633991674718336,0.31301070129572883
20000,M3,Survival-MDN,96,0.10267764366519887,0.15384413682248574,0.666974309952856,2.5744899234501477,0.08103542383175788,0.025498564396848295,0.03600789765643078,0.40671878690041063
